ID_ORDEM_SERVICO,ID_UC,Estado Instalacion,Uso,Actividad Economica,Fecha Generacion,Fecha Ejecucion,FechaDescargue,Fecha Ultima Lectura,Estado OT,Observacion,Efectividad,Causa Efectividad,Causa Evento,Consumo promedio,Lectura en Visita,Ultimo Valor Leido,Oportunidad Ejecucion,Oportunidad Descargue,Diferencia Lectura,Dias entre lecturas,Promedio Consumo dia,Analisis Lectura,Promedio Dia Historico,Menor a Promedio,Score Lectura,Score Promedio,Total Puntaje,ID_Accion,Nombre Accion
EPMA3924906-1,12287586,ActivoCon suministro                       ,Comercial  ,"Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados                  ",2021-09-03,2021-09-06,2021-09-06,2021-08-20 00:00:00,DescargadaParcial,Carlos Jaramillo... medidor Water tech con serie#2014293638 y lectura#00451 en posición correcta sin signos de manipulación externa predio no residencial actividad económica es una droguería razón social  farmacia Pasteur se hizo acompañamiento de personal de mantenimiento  sin  foto de fachada en local no permitieron Usuario: EPM\CARLOS.JARAMILLO Fecha: 2021-09-06 15:26:36,NO,No fraude,No fraude,1,451.0,449,2.0,0.0,2.0,17.0,0.11764705882352941,Lectura Baja,0.03333333333333333,Igual o mayor a Promedio,5.0,1.0,6.0,35.735 ,2528_C_CaidaConsumo_020920210	            
EPMA3877378-1,12287732,ActivoCon suministro                       ,Comercial  ,Otras actividades de servicios personales n.c.p.                                                                                                      ,2021-07-23,2021-08-06,2021-08-09,2021-08-18 00:00:00,Cerrada,"LUIS BALBUENA FECHA VISITA: 06/08/2021 PAP :2629  SERIE MED :2017801392  MARCA: WATER TECH  LECTURA :1587  DIAMETRO : 1/2 MEDIDOR EN BUEN ESTADO BIEN INSTALADO REGISTRANDO EN PRUEBA DE LLAVES SIN ANOMALIAS  USUARIO ARGUMENTA QUE CUANDO DISMINUYO CONSUMO FUE POR PANDEMIA YA QE HAY UN LOCAL QUE ES RESTAURANTE Y ES EL MISMO SUMINISTRO DE FLUJO Y ESTE FUE CERRADO , NO RESIDENCIAL , PARQUEADERO MOTO PARK Usuario: EPM\aalvaalv Fecha: 2021-08-09 09:18:04",NO,No fraude,No fraude,24,1587.0,1603,11.0,1.0,16.0,12.0,1.3333333333333333,Lectura Normal,0.8,Igual o mayor a Promedio,3.0,1.0,4.0,34.792 ,3029_C_CaidaConsumosBalanceHid_220720210  
EPMA3894148-1,12289863,ActivoCon suministro                       ,Comercial  ,Comercial                                                                                                                                             ,2021-08-06,2021-08-19,2021-08-19,2021-08-25 00:00:00,Cerrada,Carlos Jaramillo... Medidor Water tech de 1/2 con serie# 2013088902 y lectura#00662 y n posición correcta sin signos de manipulación externa registra en prueba de Racor predio solo no residencial actividad económica es confecciones sin nombre de razón social  vecinos Argumenta que solo trabajan 3 personas en local actualizar serie en Sistema Usuario: EPM\CARLOS.JARAMILLO Fecha: 2021-08-19 07:54:09,NO,No fraude,No Aplica,3,662.0,663,10.0,0.0,1.0,6.0,0.16666666666666666,Lectura Normal,0.1,Igual o mayor a Promedio,3.0,1.0,4.0,35.099 ,2528_C_CaidaConsumo_050820210             
EPMA3910094-1,12290208,ActivoCon suministro                       ,Residencial,Residencial estrato 5                                                                                                                                 ,2021-08-21,2021-08-31,2021-09-02,2021-08-14 00:00:00,Cerrada,Yonatan Giraldo medidor bien instalado en buen estado no registra en prueba de llaves medidor encontrado en terreno no coincide con el listado de EPM actualizar serie en Medidor marca wáter tech de 1/2 serie 2014315696 lectura 01155 se envía medidor para el laboratorio en bolsa de seguridad BM 17-00162 presinto CB 17-00069 se normaliza instalación mediante cambio de medidor provisional marca wáter tech de 1/2 serie 2020554313 lectura 00000 se instala sello de EPM AA2037812 se dejan llaves y racores sin fugas predio residencial (villa santa Teresa) fecha revisión laboratorio 15-09-2021 Usuario: EPM\YONATAN.GIRALDO Fecha: 2021-08-31 08:48:51,SI,,Anomalia - Medidor parado/funcionando mal,14,1155.0,1155,7.0,2.0,0.0,17.0,0.0,Parado,0.4666666666666667,Menor a Promedio,10.0,7.0,17.0,35.385 ,1053_C_Otro_Canal_200820210	              
EPMA3829123-1,12290452,ActivoCon suministro                       ,Comercial  ,Otros tipos de alojamientos para visitantes                                                                                                           ,2021-06-11,2021-06-15,2021-06-16,2021-08-25 00:00:00,Cerrada,Medidor en caja  tiene un Water tech con serie#2014253260  y lectura#03558 usuario indica que se encuentra perjudicado ya que lectores no leen medidor por no saca basura que mantiene caja predio es una bodega  Usuario: CARLOS.JARAMILLO Fecha: 2021-06-15 10:34:52,NO,No fraude,No fraude,32,3558.0,3654,3.0,1.0,96.0,71.0,1.352112676056338,Lectura Normal,1.0666666666666667,Igual o mayor a Promedio,3.0,1.0,4.0,33.985 ,1053_C_Otro_Canal_100620210               
EPMA3877624-1,12290469,ActivoCon suministro                       ,Comercial  ,Comercial                                                                                                                                             ,2021-07-23,2021-08-05,2021-08-05,2021-08-18 00:00:00,Cerrada,"SEBASTIAN BUILES
Se visita dirección en instalacion no residencial actividad económica pasaje comercial nombre Tequendama  con medidor marca watertech de 1/2 serie 2016627434 y lectura 02299 M3 medidor bien instalado registra en prueba de llaves consumos avanzado con normalidad y son acorde a meses anteriores se observan pocos locales usuario informa que sus consumos son solo uso sanitario ya que su actividad económica no depende de este servicio por tal motivo bajo consumo sin anomalías no suministran datos Usuario: EPM\SEBASTIAN.BUILES Fecha: 2021-08-05 14:09:00",NO,No fraude,No fraude,21,2299.0,2308,10.0,0.0,9.0,13.0,0.6923076923076923,Lectura Normal,0.7,Menor a Promedio,3.0,7.0,10.0,34.792 ,3029_C_CaidaConsumosBalanceHid_220720210  
EPMA3877426-1,12290504,ActivoCon suministro                       ,Comercial  ,"Comercio al por menor de carnes (incluye aves de corral), productos cárnicos, pescados y productos de mar, en establecimientos especializados         ",2021-07-23,2021-08-05,2021-08-05,2021-08-18 00:00:00,Cerrada,"SEBASTIAN BUILES
Se visita dirección en instalacion no residencial actividad económica panaderia nombre boga con medidor marca watertech de 1/2 serie 2018921427 y lectura 00432 M3 medidor bien instalado empotrado registra en prueba de llaves consumos avanzado con normalidad y son acorde a meses anteriores usuario informa que su variación y bajo consumo es debido a la variación de en el flujo de personas no se observa ninguna anomalía  Usuario: EPM\SEBASTIAN.BUILES Fecha: 2021-08-05 10:31:14",NO,No fraude,No fraude,10,432.0,437,10.0,0.0,5.0,13.0,0.38461538461538464,Lectura Normal,0.3333333333333333,Igual o mayor a Promedio,3.0,1.0,4.0,34.792 ,3029_C_CaidaConsumosBalanceHid_220720210  
EPMA3910417-1,12290687,ActivoCon suministro                       ,Comercial  ,Expendio a la mesa de comidas preparadas                                                                                                              ,2021-08-21,2021-09-04,2021-09-08,2021-08-19 00:00:00,DescargadaParcial,Carlos Jaramillo... instalación directa la cual se normaliza instalación se instala llave de contención dos pitorras de 1/4 de 4 mm medidor Water tech de 1/2 con serie#2020554559 y lectura#00000 y sello de seguridad de EPM#AA2044420 se deja instalacion sin fugas predio no residencial actividad económica es un local restaurante razón social  seasoning se empotra medidor la cual usuaria lo ordena Usuario: EPM\CARLOS.JARAMILLO Fecha: 2021-09-04 08:42:42,SI,,Anomalia - Instalacion directa (Cliente EPM),51,0.0,0,10.0,2.0,0.0,16.0,0.0,Parado,1.7,Menor a Promedio,10.0,7.0,17.0,35.389 ,1053_C_Otro_Canal_200820212               
EPMA3924895-1,12290748,ActivoCon suministro                       ,Industrial ,Residencial estrato 6                                                                                                                                 ,2021-09-03,2021-09-10,2021-09-10,2021-08-12 00:00:00,DescargadaParcial,Yonatan Giraldo medidor bien instalado en buen estado registrando en prueba de llaves medidor marca wáter tech de 3/4 serie 2014268200 lectura 32062 medidor de control no se observa anomalías externas predio residencial (Sion apartamentos) personal que atiende visita dice no estar autorizado para firmar Usuario: EPM\YONATAN.GIRALDO Fecha: 2021-09-10 10:54:35,NO,No fraude,No fraude,3,32062.0,31647,6.0,0.0,415.0,29.0,14.310344827586206,Lectura Normal,0.1,Igual o mayor a Promedio,3.0,1.0,4.0,35.735 ,2528_C_CaidaConsumo_020920210	            
EPMA3829160-1,12290969,ActivoCon suministro                       ,Industrial ,Elaboración de otros productos alimenticios n.c.p.                                                                                                    ,2021-06-11,2021-06-22,2021-06-24,2021-08-17 00:00:00,Cerrada,"JORGE GRUESO no fraude    FECHA VISITA:22/06/2021 PAP:379 SERIE MED :200105623 MARCA:WATER TECH LECTURA :7579 DIAMETRO : 1 MEDIDOR BIEN INSTALADO CON SELLO BUENO ILEGIBLE REGISTRA CON  PRUEBA DE LLAVE USUARIO MANIFIESTA QUE EL BAJO CONSUMO SE DEBE A LA BAJA PRODUCCION NO SE OBSERVA ANOMALIAS EN EL MEDIDOR Y ACOMETIDA , CANT PUNTOS CONSUMOS 15 CANT UNI NO HABITACIONALES 1 NO RESIDENCIAL , FABRICA AREPAS Usuario: EPM\aalvaalv Fecha: 2021-06-24 12:50:42",NO,No fraude,No fraude,621,7579.0,9060,8.0,2.0,1481.0,56.0,26.446428571428573,Lectura Normal,20.7,Igual o mayor a Promedio,3.0,1.0,4.0,33.997 ,2852_C_CaidaEstandar_100620210            
EPMA3877303-1,12291020,ActivoCon suministro                       ,Comercial  ,Comercial                                                                                                                                             ,2021-07-23,2021-08-05,2021-08-06,2021-08-18 00:00:00,Cerrada,"LUIS BALBUENA FECHA VISITA : 05/08/2021 PAP : 2608  SERIE MED :2012063798      MARCA: WATER TECH LECTURA  : 2456  DIAMETRO : 1/2  MEDIDOR EN BUEN ESTADO BIEN INSTALADO REGISTRANDO EN PRUEBA DE RACORES , NO SUMINSTRA INFORMACION ,NO RESIDENCIAL , COOPERATIVA CONFIAR Usuario: EPM\aalvaalv Fecha: 2021-08-06 11:24:14",NO,No fraude,No fraude,9,2456.0,2462,10.0,1.0,6.0,13.0,0.46153846153846156,Lectura Normal,0.3,Igual o mayor a Promedio,3.0,1.0,4.0,34.792 ,3029_C_CaidaConsumosBalanceHid_220720210  
EPMA3924774-1,12291133,ActivoCon suministro                       ,Industrial ,Comercial                                                                                                                                             ,2021-09-03,2021-09-09,2021-09-09,2021-08-13 00:00:00,DescargadaParcial,Carlos Jaramillo... Medidor Water tech de 1/2 con serie #2016739679 y lectura# 00302 con sello de EPM bueno#AE1700981 registra en prueba de Racor predio solo actividad económica es una carpintería razón social sin nombre Usuario: EPM\CARLOS.JARAMILLO Fecha: 2021-09-09 09:47:50,NO,No fraude,No fraude,1,302.0,300,5.0,0.0,2.0,27.0,0.07407407407407407,Lectura Baja,0.03333333333333333,Igual o mayor a Promedio,5.0,1.0,6.0,35.735 ,2528_C_CaidaConsumo_020920210	            
EPMA3936441-1,12291226,ActivoCon suministro                       ,Comercial  ,Elaboración de otros productos alimenticios n.c.p.                                                                                                    ,2021-09-11,2021-09-14,2021-09-14,2021-08-12 00:00:00,DescargadaParcial,Carlos Jaramillo... Medidor Water tech de 1/2 con serie#2017852003 y lectura#01285 sin signos de manipulación externa  en pocision correcta registra en prueba de llaves predio no residencial actividad económica es un restaurante pequeño razón social artisano trabajadora de predio argumenta que consumo varía ya que no es muy concurrido el restaurante  usuaria no firma se hizo acompañar de Juan Fernando Interventor de EPM Usuario: EPM\CARLOS.JARAMILLO Fecha: 2021-09-14 10:46:49,NO,No fraude,No fraude,27,1285.0,1241,2.0,0.0,44.0,33.0,1.3333333333333333,Lectura Normal,0.9,Igual o mayor a Promedio,3.0,1.0,4.0,35.907 ,2528_C_CaidaConsumo_100920210             
EPMA3902069-1,12291888,ActivoCon suministro                       ,Residencial,Residencial estrato 3                                                                                                                                 ,2021-08-14,2021-08-24,2021-08-24,2021-08-23 00:00:00,Cerrada,Luis Balbuena residencial medidor bien instalado registrando fichero con misma lectura se remite para cambio por parado serie 2012035869 marca watertech lectura 00539 Usuario: EPM\luis.balbuena Fecha: 2021-08-24 09:03:55,SI,,Anomalia - Medidor parado/funcionando mal,2,2012035869.0,539,7.0,0.0,2012035330.0,1.0,2012035330.0,Lectura Normal,0.06666666666666667,Igual o mayor a Promedio,3.0,1.0,4.0,35.256 ,1053_C_Otro_Canal_130820210               
EPMA3910419-1,12292289,ActivoCon suministro                       ,Residencial,Residencial estrato 5                                                                                                                                 ,2021-08-21,2021-08-31,2021-08-31,2021-08-21 00:00:00,Cerrada,Jorge grueso clase de uso residencial actividad vivienda medidor WATER TECH de ½ serie # 2013084699 con lectura # 00649 bien instalado con fichero frenado se retira para el laboratorio en cadena de custodia con bolsa de seguridad # BM-17-00200 precinto # CB-1700302 fecha de revisión miércoles 15 -09-2021 dirección CRA 66b #32-112 piso 3  hora 2pm se instala medidor WATER TECH de ½ provisional serie #2020576519 con lectura # 0 sin fugas se prueba presión usuario con forme Sello de control# AA2036109 Usuario: EPM\JORGE.GRUESO Fecha: 2021-08-31 12:14:22,SI,,Anomalia - Medidor parado/funcionando mal,6,649.0,649,7.0,0.0,0.0,10.0,0.0,Parado,0.2,Menor a Promedio,10.0,7.0,17.0,35.385 ,1053_C_Otro_Canal_200820210	              
EPMA3926433-1,12292956,ActivoCon suministro                       ,Residencial,Residencial estrato 1                                                                                                                                 ,2021-09-04,2021-09-10,2021-09-10,2021-08-11 00:00:00,DescargadaParcial,Carlos Jaramillo... medidor Water tech de 1/2 con serie# 2015541370 y lectura#00129 en posición correcta sin signos de manipulación externa registra en prueba de llaves predio residencial en predio vive 1 persona la tercera edad la  cual indica que no lava ni hacede viene en casa si no  que las hijas le lavan y le cocinan   Usuario: EPM\CARLOS.JARAMILLO Fecha: 2021-09-10 08:43:16,NO,No fraude,No fraude,0,129.0,128,5.0,0.0,1.0,30.0,0.03333333333333333,Lectura Baja,0.0,Igual o mayor a Promedio,5.0,1.0,6.0,35.750 ,1053_C_Otro_Canal_030920210               
EPMA3877665-1,12293136,ActivoCon suministro                       ,Comercial  ,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento                                                                            ,2021-07-23,2021-08-06,2021-08-06,2021-08-27 00:00:00,Cerrada,"Carlos Jaramillo
Medidor Water tech de 1/2 con serie# 20113075336 en posición correcta sin signos de manipulación externa registra en prueba de Racor predio solo no residencial actividad económica heladería razón social antoja2 Usuario: EPM\CARLOS.JARAMILLO Fecha: 2021-08-06 09:13:57",NO,No fraude,No fraude,5,0.0,2436,11.0,0.0,2436.0,21.0,116.0,Lectura Normal,0.16666666666666666,Igual o mayor a Promedio,3.0,1.0,4.0,34.791 ,2528_C_CaidaConsumo_220720210             
EPMA3877633-1,12293233,ActivoCon suministro                       ,Comercial  ,"Comercio al por menor de lubricantes (aceites, grasas), aditivos y productos de limpieza para vehículos automotores                                   ",2021-07-23,2021-08-04,2021-08-05,2021-09-03 00:00:00,Cerrada,"LUIS BALBUENA  FECHA VISITA : 04/08/2021 PAP : 3184 SERIE MED:2016635238  MARCA: WATER TECH  LECTURA : 1042  DIAMETRO : 1/2 CAJILLA SIN TAPA MEDIDOR EN BUEN ESTADO BIEN INSTALADO REGISTRANDO EN PRUEBA DE LLAVES SIN ANOMALIAS USUARIO ARGUMENTA QUE VARIACION DE CONSUMO SE DEBE AVECES A LA RESTRICCIONES QUE HA GENERADO LA PANDEMIA, NO RESIDENCIAL , AUTOMOTRIZ MIRANDA Usuario: EPM\aalvaalv Fecha: 2021-08-05 11:23:14",NO,No fraude,No fraude,9,1042.0,1053,9.0,1.0,11.0,30.0,0.36666666666666664,Lectura Normal,0.3,Igual o mayor a Promedio,3.0,1.0,4.0,34.791 ,2528_C_CaidaConsumo_220720210             
EPMA3920653-1,12294099,ActivoCon suministro                       ,Comercial  ,Comercial                                                                                                                                             ,2021-08-31,2021-08-31,2021-09-01,2021-08-20 00:00:00,DescargadaParcial,"SE DESCARGO ITEM EN LA 3901846- Yonatan Giraldo predio solo no hay quien suministre información medidor bien instalado en buen estado con fichero frenado medidor marca wáter tech de 1/2 serie 2012011337 lectura 01730 se envía medidor para el laboratorio en bolsa de seguridad BM 17-00006 presinto CB 17-00265 se normaliza instalación mediante cambio de medidor provisional marca wáter tech de 1/2 serie 2020561893 lectura 00000 se instala sello de EPM AA2030817 se dejan llaves y racores sin fugas predio no residencial sin nombre se deja medidor empotrado&#x0D;
 Usuario: EPM\aalvaalv Fecha: 2021-09-01 17:22:01",SI,,Fraude - Manipulacion del medidor,4,1730.0,1730,1.0,1.0,0.0,11.0,0.0,Parado,0.13333333333333333,Menor a Promedio,10.0,7.0,17.0,35.256 ,1053_C_Otro_Canal_130820210               
EPMA3829132-1,12294190,ActivoCon suministro                       ,Comercial  ,Comercial                                                                                                                                             ,2021-06-11,2021-06-22,2021-06-24,2021-08-17 00:00:00,Cerrada,"JORGE GRUESO no  fraude   FECHA VISITA:22/06/2021 PAP:382 SERIE MED : 2013094521 LECTURA :2218 MARCA: WATER TECH DIAMETRO : 1/2 MEDIDOR BIEN INSTALADO REGISTRA CON PRUEBA DE LLAVE USUARIO MANIFIESTA QUE HACE MAS DE 3 MESES TENIAN DAÑO EN SANITARIO EL CUAL FUE REPARADO NO SE OBSERVA ANOMALIAS EN EL MEDIDOR Y ACOMETIDAS, NO RESIDENCIAL CARNES SABANETA Usuario: EPM\aalvaalv Fecha: 2021-06-24 12:50:42",NO,No fraude,No fraude,19,2218.0,2272,8.0,2.0,54.0,56.0,0.9642857142857143,Lectura Normal,0.6333333333333333,Igual o mayor a Promedio,3.0,1.0,4.0,33.999 ,2852_C_CaidaEstandar_100620211            
EPMA3893964-1,12294237,ActivoCon suministro                       ,Comercial  ,Fabricación de artículos de plástico n.c.p.                                                                                                           ,2021-08-06,2021-08-20,2021-08-20,2021-08-18 00:00:00,Cerrada,Jorge grueso clase de uso no residencial actividad económica BARBERIA razón sin nombre medidor WATER TECH de ½ serie #20113082918 con lectura # 01086 bien instalado empotrado con fuga en llave de acera y antes de llave de contension predio cerrado en visita  Usuario: EPM\JORGE.GRUESO Fecha: 2021-08-20 07:17:16,NO,No fraude,No fraude,2,1086.0,1085,11.0,0.0,1.0,2.0,0.5,Lectura Normal,0.06666666666666667,Igual o mayor a Promedio,3.0,1.0,4.0,35.099 ,2528_C_CaidaConsumo_050820210             
EPMA3829188-1,12294468,ActivoCon suministro                       ,Residencial,Residencial estrato 1                                                                                                                                 ,2021-06-11,2021-06-15,2021-06-17,2021-09-07 00:00:00,Cerrada,"SEBASTIAN BUILES .no fraude  FECHA VISITA 15/06/2021 PAP:202 SERIE MED :2018874935   MARCA WATER TECH LECTURA : 28  DIAMETRO 1/2 MEDIDOR BIEN INSTALADO EMPOTRADO NADIE EN PREDIO PARA SUMINISTRAR INFORMACION CAJILLA LLENA DE TIERRA , CONSUMOS AVANZANDO CON NORMALIDAD SWIN ANOMALIA . RESIDENCIAL Usuario: EPM\aalvaalv Fecha: 2021-06-17 15:26:09",NO,No fraude,No fraude,0,28.0,30,3.0,2.0,2.0,84.0,0.023809523809523808,Lectura Baja,0.0,Igual o mayor a Promedio,5.0,1.0,6.0,34.002 ,1053_C_Otro_Canal_100620216               
